RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
25,70,0.04,0.025,35.44161938601016,-40.39933600787634,39.40710176009787,-39.883703746201626,37.0049885207234,-40.39933600787634,19.91393295232274
30,75,0.035,0.025,35.61912030637626,-40.374541485326766,40.16180810197426,-39.82703820770247,37.365765744362136,-40.374541485326766,19.898090058052592
35,75,0.035,0.023,35.57981757124807,-40.24655922586846,40.254094436665554,-39.883415492096994,37.39521558648221,-40.24655922586846,19.857524939297996
30,75,0.04,0.023,35.573478869502765,-40.36986371182476,40.16264143796295,-39.82638208569954,37.33766646643923,-40.36986371182476,19.837819671403036
30,75,0.035,0.027,35.623646694033624,-40.37444841742247,40.38700771814061,-39.82703820770247,37.453504179151366,-40.37444841742247,19.825413389498316
30,65,0.035,0.027,35.623646694033624,-40.37444841742247,40.38700771814061,-39.82703820770247,37.453504179151366,-40.37444841742247,19.825413389498316
30,70,0.035,0.027,35.623646694033624,-40.37444841742247,40.38700771814061,-39.82703820770247,37.453504179151366,-40.37444841742247,19.825413389498316
35,75,0.035,0.02,35.44825750434225,-40.25253682197293,39.844673771223,-39.89153267667186,37.179193748399456,-40.25253682197293,19.821123923243466
35,75,0.032,0.023,35.4998285109489,-40.25876727564799,40.08886829282886,-39.89318862660919,37.270976309711756,-40.25876727564799,19.80309604081412
30,75,0.04,0.02,35.435346489911126,-40.36697929144836,39.75987752861465,-39.84890612972912,37.11811145306524,-40.36697929144836,19.793317874357967
30,75,0.045,0.025,35.535159229492365,-40.358133421331544,40.16165877678054,-39.82746943714558,37.31143635173095,-40.358133421331544,19.790537690475464
35,75,0.032,0.02,35.36278008525019,-40.26161809639351,39.64414943346034,-39.917226987116535,37.049202969024435,-40.26161809639351,19.772734479638913
30,70,0.045,0.027,35.53932960333847,-40.35184958617821,40.386859486735716,-39.82746943714558,37.39990076917786,-40.35184958617821,19.719546788987063
30,75,0.045,0.027,35.53932960333847,-40.35184958617821,40.386859486735716,-39.82746943714558,37.39990076917786,-40.35184958617821,19.719546788987063
30,65,0.045,0.027,35.53932960333847,-40.35184958617821,40.386859486735716,-39.82746943714558,37.39990076917786,-40.35184958617821,19.719546788987063
30,75,0.032,0.025,35.40433893683635,-40.38710428254245,39.84023333886512,-39.91047655690875,37.150322891466175,-40.38710428254245,19.716289397236427
30,75,0.035,0.023,35.47840968134523,-40.37888418915199,40.16264143796295,-39.82638208569954,37.277984214239154,-40.37888418915199,19.70631910032583
25,70,0.045,0.025,35.25579074075415,-40.39886929205798,39.40710176009787,-39.883703746201626,36.88510047873302,-40.39886929205798,19.663227631763554
30,75,0.035,0.02,35.33874510738539,-40.37716975913397,39.75987752861465,-39.84890612972912,37.05534522884412,-40.37716975913397,19.659339344258264
25,75,0.032,0.025,35.33183934778819,-40.393140427118766,39.77103417980169,-39.88993122858241,37.075705493821516,-40.393140427118766,19.6405220070919
25,75,0.035,0.025,35.331156867291924,-40.39228409627385,39.77103417980169,-39.88993122858241,37.07487615040216,-40.39228409627385,19.63990037421766
25,75,0.04,0.025,35.327798615681445,-40.39273554330589,39.77103417980169,-39.88993122858241,37.07236866942475,-40.39273554330589,19.6352087280823
30,65,0.032,0.027,35.40505485085052,-40.382231658461464,40.08888807298834,-39.88665508553223,37.237700497292764,-40.382231658461464,19.63193214264077
30,75,0.032,0.027,35.40505485085052,-40.382231658461464,40.08888807298834,-39.88665508553223,37.237700497292764,-40.382231658461464,19.63193214264077
30,70,0.032,0.027,35.40505485085052,-40.382231658461464,40.08888807298834,-39.88665508553223,37.237700497292764,-40.382231658461464,19.63193214264077
30,75,0.045,0.023,35.395181464843176,-40.35508037352552,40.16249211683481,-39.82681330093429,37.22239682327813,-40.35508037352552,19.602344605912172
35,70,0.045,0.02,35.0359331859035,-39.89558654600963,39.32261400075532,-39.82332837105105,36.69411062397356,-39.97315386197644,19.572139609601994
30,75,0.045,0.02,35.254458397143395,-40.35081091624584,39.75972622670966,-39.849337369897206,37.00037357413186,-40.35081091624584,19.554830836109158
25,70,0.035,0.027,35.33404349069406,-40.39835170831939,40.047367434328066,-39.84712528063415,37.16264940007841,-40.39835170831939,19.54495701251037
25,75,0.035,0.027,35.33404349069406,-40.39835170831939,40.047367434328066,-39.84712528063415,37.16264940007841,-40.39835170831939,19.54495701251037
25,65,0.035,0.027,35.33404349069406,-40.39835170831939,40.047367434328066,-39.84712528063415,37.16264940007841,-40.39835170831939,19.54495701251037
25,65,0.032,0.027,35.33419107840524,-40.39916166469018,40.047367434328066,-39.84712528063415,37.16202263113013,-40.39916166469018,19.544872771190686
25,75,0.032,0.027,35.33419107840524,-40.39916166469018,40.047367434328066,-39.84712528063415,37.16202263113013,-40.39916166469018,19.544872771190686
25,70,0.032,0.027,35.33419107840524,-40.39916166469018,40.047367434328066,-39.84712528063415,37.16202263113013,-40.39916166469018,19.544872771190686
25,70,0.04,0.027,35.33144603754039,-40.393570368553064,40.047367434328066,-39.84712528063415,37.160842828058264,-40.393570368553064,19.543123919671128
25,65,0.04,0.027,35.33144603754039,-40.393570368553064,40.047367434328066,-39.84712528063415,37.160842828058264,-40.393570368553064,19.543123919671128
