name,mode,ladder,fee,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,score
균형형 ⭐ 추천,all_loss,2,0.0005,0.05,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
균형형 ⭐ 추천,any_loss,2,0.0005,0.15,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
균형형 ⭐ 추천,any_loss,2,0.0005,0.1,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
균형형 ⭐ 추천,all_loss,2,0.0005,0.15,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
균형형 ⭐ 추천,any_loss,3,0.0005,0.15,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,any_loss,3,0.0005,0.05,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,any_loss,3,0.0005,0.1,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,all_loss,3,0.0005,0.15,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,all_loss,3,0.0005,0.1,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,all_loss,3,0.0005,0.05,36.6886993119119,-44.79285030978809,44.39723173718424,-41.988423892029445,39.5174586196819,-44.79285030978809,18.313215354640747
균형형 ⭐ 추천,all_loss,0,0.0005,0.1,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
균형형 ⭐ 추천,all_loss,0,0.0005,0.05,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
균형형 ⭐ 추천,any_loss,0,0.0005,0.05,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
균형형 ⭐ 추천,any_loss,0,0.0005,0.15,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
균형형 ⭐ 추천,any_loss,0,0.0005,0.1,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
균형형 ⭐ 추천,all_loss,0,0.0005,0.15,36.01327763237359,-44.27028351617662,42.448348537689284,-39.78893718576691,38.431937707177546,-44.27028351617662,18.266403584851275
안정형,never,2,0.001,0.15,32.79321940882589,-37.45961446242057,37.47268878777841,-37.38270489196244,34.61727726650346,-37.509439505208555,18.04454006434531
안정형,never,2,0.001,0.05,32.79321940882589,-37.45961446242057,37.47268878777841,-37.38270489196244,34.61727726650346,-37.509439505208555,18.04454006434531
안정형,never,2,0.001,0.1,32.79321940882589,-37.45961446242057,37.47268878777841,-37.38270489196244,34.61727726650346,-37.509439505208555,18.04454006434531
안정형,never,0,0.001,0.15,32.15306658898036,-36.545400206601805,35.97507033225702,-36.02145796158812,33.698935428793675,-36.545400206601805,18.024475206522897
안정형,never,0,0.001,0.1,32.15306658898036,-36.545400206601805,35.97507033225702,-36.02145796158812,33.698935428793675,-36.545400206601805,18.024475206522897
안정형,never,0,0.001,0.05,32.15306658898036,-36.545400206601805,35.97507033225702,-36.02145796158812,33.698935428793675,-36.545400206601805,18.024475206522897
공격형,all_loss,3,0.001,0.15,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,all_loss,3,0.001,0.1,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,all_loss,3,0.001,0.05,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,any_loss,3,0.001,0.1,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,any_loss,3,0.001,0.05,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,any_loss,3,0.001,0.15,37.13185750429449,-46.48598578145548,45.33395805276832,-46.080855588018075,40.18940096417272,-46.48598578145548,17.991027288819225
공격형,all_loss,2,0.001,0.05,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
공격형,any_loss,2,0.001,0.15,37.06531706214542,-46.4840025825847,45.12880996755872,-45.494927983696,40.047116431039996,-46.4840025825847,17.973693641346117
